¸ú×ÙÂ·¾¶1
X(mm), Y(mm), Z(mm)
116.078408221061, 95.0042269841984, -8.74873869027961e-15
117.125098929416, 93.7107848690575, -8.79142980089086e-15
118.158406922713, 92.4044959592714, -8.83412091150212e-15
119.17824226146, 91.0853806681896, -8.87681202211337e-15
120.184505313227, 89.7534661314821, -8.91950313272464e-15
121.177086488179, 88.4087875170596, -8.96219424333589e-15
122.155866022305, 87.0513893992557, -9.00488535394715e-15
123.120713811131, 85.681327199325, -9.0475764645584e-15
124.071489297077, 84.2986686941468, -9.09026757516965e-15
125.008041413997, 82.9034955947977, -9.13295868578091e-15
125.930208592808, 81.4959051963484, -9.17564979639216e-15
126.837818832467, 80.0760120998956, -9.21834090700342e-15
127.730689840913, 78.6439500073899, -9.26103201761467e-15
128.608629250891, 77.1998735893204, -9.30372312822592e-15
129.471434915898, 75.7439604247014, -9.34641423883718e-15
130.318895291715, 74.276413012122, -9.38910534944843e-15
131.150789909238, 72.7974608498335, -9.43179646005968e-15
131.966889944442, 71.3073625819372, -9.47448757067094e-15
132.766958891403, 69.8064082067593, -9.51717868128219e-15
133.550753344336, 68.2949213423703, -9.55986979189345e-15
134.318023894456, 66.773261542991, -9.6025609025047e-15
135.068516147319, 65.2418266586831, -9.64525201311595e-15
135.80197186593, 63.7010552292915, -9.68794312372722e-15
136.518130244438, 62.1514289020192, -9.73063423433847e-15
137.216729316593, 60.5934748603937, -9.77332534494973e-15
137.897507502323, 59.0277682506045, -9.81601645556098e-15
138.560205294769, 57.4549345893961, -9.85870756617223e-15
139.204567088875, 55.8756521357846, -9.90139867678349e-15
139.830343151184, 54.2906542069845, -9.94408978739474e-15
140.43729172879, 52.7007314169625, -9.986780898006e-15
141.025181293443, 51.1067338141634, -1.00294720086172e-14
141.593792914608, 49.5095728930824, -1.00721631192285e-14
142.142922752835, 47.9102234526387, -1.01148542298398e-14
142.672384662092, 46.3097252726919, -1.0157545340451e-14
143.182012886779, 44.7091845786791, -1.02002364510623e-14
