224,-41.35414311
225,-41.26098871
226,-41.16323875
227,-41.06095341
228,-40.9541951
229,-40.84302836
230,-40.72751972
231,-40.60773758
232,-40.48375218
233,-40.35563538
234,-40.22346066
235,-40.08730294
236,-39.94723849
237,-39.80334485
238,-39.65570069
239,-39.50438575
240,-39.3494807
241,-39.19106707
242,-39.02922715
243,-38.8640439
244,-38.69560085
245,-38.52398205
246,-38.34927192
247,-38.17155525
248,-37.99091708
249,-37.80744261
250,-37.6212172
251,-37.43232622
252,-37.24085505
253,-37.04688898
254,-36.8505132
255,-36.65181267
256,-36.45087218
257,-36.24777619
258,-36.04260886
259,-35.83545398
260,-35.62639495
261,-35.41551472
262,-35.20289577
263,-34.98862009
264,-34.77276914
265,-34.55542381
266,-34.33666443
267,-34.11657072
268,-33.8952218
269,-33.67269615
270,-33.44907158
271,-33.22442526
272,-32.99883367
273,-32.77237262
274,-32.54511721
275,-32.31714185
276,-32.08852023
277,-31.85932534
278,-31.62962943
279,-31.39950406
280,-31.16902004
281,-30.93824746
282,-30.7072557
283,-30.47611341
284,-30.2448885
285,-30.01364818
286,-29.78245893
287,-29.55138651
288,-29.32049597
289,-29.08985165
290,-28.85951717
291,-28.62955547
292,-28.40002877
293,-28.1709986
294,-27.9425258
295,-27.71467053
296,-27.48749225
297,-27.26104978
298,-27.03540122
299,-26.81060405
300,-26.58671505
301,-26.36379037
302,-26.14188549
303,-25.92105525
304,-25.70135384
305,-25.48283483
306,-25.26555112
307,-25.04955502
308,-24.83489819
309,-24.62163165
310,-24.40980585
311,-24.19947057
312,-23.99067502
313,-23.78346777
314,-23.57789679
315,-23.37400946
316,-23.17185255
317,-22.97147221
318,-22.77291403
319,-22.57622296
320,-22.3814434
321,-22.18861911
322,-21.99779329
323,-21.80900854
324,-21.62230686
325,-21.43772966
326,-21.25531777
327,-21.07511141
328,-20.89715023
329,-20.72147327
330,-20.54811899
331,-20.37712523
332,-20.20852927
333,-20.04236777
334,-19.87867679
335,-19.71749181
336,-19.55884768
337,-19.40277868
338,-19.24931846
339,-19.09850005
340,-18.95035591
341,-18.80491786
342,-18.66221709
343,-18.52228419
344,-18.38514914
345,-18.25084128
346,-18.1193893
347,-17.9908213
348,-17.86516472
349,-17.74244637
350,-17.62269242
351,-17.50592838
352,-17.39217912
353,-17.28146888
354,-17.17382121
355,-17.06925902
356,-16.96780455
357,-16.86947938
358,-16.77430442
359,-16.6822999
360,-16.59348538
